Room Number,Room Description,Image
Room 1,The Credit Suisse Exhibition: Raphael,https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
Room 2,The Credit Suisse Exhibition: Raphael,https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
Room 3,The Credit Suisse Exhibition: Raphael,https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
Room 4,The Credit Suisse Exhibition: Raphael,https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
Room 5,The Credit Suisse Exhibition: Raphael,https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
Room 6,The Credit Suisse Exhibition: Raphael,https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
Room 7,The Credit Suisse Exhibition: Raphael,https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
Room 8,The Credit Suisse Exhibition: Raphael,https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
Room 9,Venice 1530 - 1600,https://www.nationalgallery.org.uk/media/8271/room-veronese-ng294-c-wide_20090403172312.jpg
Room 10,The sacred and profane in sixteenth-century Italian art,https://www.nationalgallery.org.uk/media/8693/raphael-portrait-pope-julius-ii-ng27-c-wide.jpg
Room 11,Veronese's 'Four Allegories of Love',https://www.nationalgallery.org.uk/media/8527/veronese-allegory-love-iv-happy-union-ng1326-c-wide.jpg
