id	Room Number	Room Description	Connections	Image
1	Room 1	The Credit Suisse Exhibition: Raphael	"2,48"	https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
2	Room 2	The Credit Suisse Exhibition: Raphael	"1,48,4"	https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
4	Room 4	The Credit Suisse Exhibition: Raphael	"2,5,6"	https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
5	Room 5	The Credit Suisse Exhibition: Raphael	"4,11"	https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
6	Room 6	The Credit Suisse Exhibition: Raphael	"4,7"	https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
7	Room 7	The Credit Suisse Exhibition: Raphael	"6,8"	https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
8	Room 8	The Credit Suisse Exhibition: Raphael	"7,9"	https://www.nationalgallery.org.uk/media/gw1dgtew/www_raphael-floor-plan.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132941496414600000
9	Room 9	Venice 1530 - 1600	"8,10,15"		https://www.nationalgallery.org.uk/media/8271/room-veronese-ng294-c-wide_20090403172312.jpg
10	Room 10	The sacred and profane in sixteenth-century Italian art	"9,11"	https://www.nationalgallery.org.uk/media/8693/raphael-portrait-pope-julius-ii-ng27-c-wide.jpg
11	Room 11	Veronese's 'Four Allegories of Love'	"5,10,12,14"	https://www.nationalgallery.org.uk/media/8527/veronese-allegory-love-iv-happy-union-ng1326-c-wide.jpg
12	Room 12	Northern Italian Portraiture 1510–1580 "11,49,50"	https://www.nationalgallery.org.uk/media/13563/n-0299-room-banner-675x230.jpg
13	Room 13	Sunley Room Exhibition	"30,49"	https://www.nationalgallery.org.uk/media/hnnbk4ti/kehindewiley_desktopbanner_oct.jpg
14	Room 14	The Netherlands	"11,29"	https://www.nationalgallery.org.uk/media/8113/room-14-the-netherlands-wide.jpg
15	Room 15	Divider room	"9,17,16,18,26,29"	https://www.nationalgallery.org.uk/media/8111/room-11-joachim-beuckelaer-wide.jpg
16	Room 16	"Cranach the Elder, Huber and Seisenegger"	"15,17"	https://www.nationalgallery.org.uk/media/14788/ng6539_banner_675x230.jpg
17	Room 17	"Altdorfer, Rottenhammer, Wertinger"	"15,16,17a"	https://www.nationalgallery.org.uk/media/wgjbmov1/n-6475-00-000049-hd.jpg?anchor=center&mode=crop&width=1920&height=360&rnd=132785187450530000
18	Room 18	Rubens	"15,19,20,21,22,23,24"	https://www.nationalgallery.org.uk/media/24234/ng6461-top-banner-v2.png
19	Room 19	Dutch landscapes	"18,20"	https://www.nationalgallery.org.uk/media/24838/ng830-room-banner_675x230.png
20	Room 20	A different view of Flanders	"18,19,21"	https://www.nationalgallery.org.uk/media/9818/article-rubens-view-het-steen-early-morning-ng66-c-widejpgduplicate18344.jpg
21	Room 21	Van Dyck	"18,20"	https://www.nationalgallery.org.uk/media/24841/n-6502-00-000055-pp.jpg
22	Room 22	Rembrandt	"18,23"	 https://www.nationalgallery.org.uk/media/23383/rembrandt_self_portrait_at_the_age_of_63_ng0221_doc_banner.jpg
23	Room 23	Dutch portraiture	"18,22,24"	https://www.nationalgallery.org.uk/media/24839/ng2864_room-banner_675x230.png
24	Room 24	International ambitions	"18,23,25"	https://www.nationalgallery.org.uk/media/10678/l-1171-wtewael-lazarus-wide-banner-675x230.jpg
25	Room 25	A New Art For A New Nation (2)	"24,28"	https://www.nationalgallery.org.uk/media/8482/molenaer-young-man-woman-making-music-ng1293-c-wide.jpg
26	Room 26	"Brueghel the Elder, van der Heyden, van de Velde"	"15,27"	"https://www.nationalgallery.org.uk/media/32986/n-0920-00-000022-hd.jpg?center=0.68199233716475094,0.32107843137254904&mode=crop&width=1920&height=360&rnd=132385450418070000"
27	Room 27	"de Hooch, Saenredam, Vermeer"	"26,28"	"https://www.nationalgallery.org.uk/media/32902/n-0825-00-000026-hd.jpg?center=0.50203527815468119,0.515&mode=crop&width=1920&height=360&rnd=132385446600400000"
28	Room 28	A New Art For A New Nation (1)	"25,27,29"	https://www.nationalgallery.org.uk/media/9434/focus-duyster-willem-soldiers-booty-barn-ng1386-c-wide-banner.jpg
29	Room 29	French Painting 1600–1700	"14,15,28,30"	https://www.nationalgallery.org.uk/media/8119/room-19-nicolas-poussin-wide.jpg
30	Room 30	Spain	"13,29,31,32"	https://www.nationalgallery.org.uk/media/8130/room-30-spain-wide.jpg
31	Room 31	Room closed	"30"	https://www.nationalgallery.org.uk/media/8310/room-d.jpg
32	Room 32	17th-century Italian paintings	"30,33,37"	https://www.nationalgallery.org.uk/media/23579/n-0172-top-banner-675x230.jpg
33	Room 33	"David, Fragonard and Vernet"	"32,34"	https://www.nationalgallery.org.uk/media/8906/calendar_page_drouais_madame_de_pompadour_at_her_tambour_frame_ng6440_c_wide_banner.jpg
34	Room 34	"Constable, Turner and Stubbs"	"33,35,41"	https://www.nationalgallery.org.uk/media/10545/n-1207-constable-hay-event-banner.jpg
35	Room 35	Hogarth and British Painting	"34,36"	https://www.nationalgallery.org.uk/media/8134/room-35-hogarth-british-painting-wide.jpg
36	Room 36	Claude and Turner	"35,37,38,40"	https://www.nationalgallery.org.uk/media/23882/n-0014-top-banner-675x230.jpg
37	Room 37	The Grand Tour	"32,36"	https://www.nationalgallery.org.uk/media/8163/panini-lottery-piazza-montecitorio-ng6605-c-crowd-wide.jpg
38	Room 38	Canaletto and Guardi	"36,39"	https://www.nationalgallery.org.uk/media/8137/room-38-canaletto-guardi-wide.jpg
39	Room 39	"Canaletto, Pittoni, and Tiepolo"	"38,49"	https://www.nationalgallery.org.uk/media/10528/n-6279-pittoni-nativity-event-banner.jpg
40	Room 40	18th-century painting in Europe	"36,44"	https://www.nationalgallery.org.uk/media/23934/n-0201-event-banner.jpg
41	Room 41	"Cézanne, Monet, Renoir"	"34,42"	"https://www.nationalgallery.org.uk/media/34533/n-6359-00-000039-hd.jpg?center=0.54285714285714282,0.41290322580645161&mode=crop&width=1920&height=360&rnd=132385909733670000"
42	Room 42	Room closed	"41,43"	https://www.nationalgallery.org.uk/media/8310/room-d.jpg
43	Room 43	"Gauguin, Seurat, Van Gogh"	"42,44"	https://www.nationalgallery.org.uk/media/25477/675x230_may.jpg
44	Room 44	"Cézanne, Degas, Monet"	"40,43,45"	https://www.nationalgallery.org.uk/media/4675/hub-monet-beach-trouville-ng3951-c-face-two-thirds.jpg
45	Room 45	"Constable, Corot and Ingres"	"44,48"	"https://www.nationalgallery.org.uk/media/33761/n-2652-00-000013-hd.jpg?center=0.60779220779220777,0.35045871559633029&mode=crop&width=1920&height=360&rnd=132385876562670000"
46	Room 46	Gainsborough's Blue Boy	"48"	https://www.nationalgallery.org.uk/media/z2rpe0ay/blueboy_desktop-banner-with-copy-1920-x-700.jpg
47	Room 47	Annenberg Court	"48,49"	https://www.nationalgallery.org.uk/media/8444/annenberg-court-lower-hall-c-wide.jpg
48	Room 48	Main Vestibule	"1,2,45,46,47,49,50"	https://www.nationalgallery.org.uk/media/8405/mosaic-anrep16-defiance-winston-wide.jpg
49	Room 49	Central Hall	"12,13,39,48,50"	https://www.nationalgallery.org.uk/media/8440/international-visitor-wilkins-c-wide_20090428133438.jpg
50	Room 50	Shop	"12,48,49"	https://www.nationalgallery.org.uk/media/29323/shopping-feature-page-header.gif
51	Room 51	"Italy, 1250–1350"	"9,51a,52,60"	https://www.nationalgallery.org.uk/media/8146/room-52-italy-1250-1350-wide.jpg
